id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
38039546,afd7a7c7-9e27-47d3-a7a5-c0ab6e3ccde9,2020/01/18 8:04 AM -0300,2020-01-18,2020-01-18 11:04:00 UTC,Buenos Aires,1986316,lucianomassa,Luciano Massa,2020-01-27 22:03:24 UTC,2025-04-03 03:48:14 UTC,research,CC-BY,https://www.inaturalist.org/observations/38039546,https://inaturalist-open-data.s3.amazonaws.com/photos/60398247/medium.jpg,,"",,1,0,false,,"La Lucila, Buenos Aires, Argentina",-34.491628544,-58.4789646417,1,,,,1,,,false,,,Grayish Saltator,Saltator coerulescens,Saltador Gris,Aves,9850
38431089,bbf173bd-72d0-4c25-b580-146cb4464cbd,2020/01/10 7:36 AM PST,2020-01-10,2020-01-10 15:36:00 UTC,Pacific Time (US & Canada),425713,trevvan,Trevor Van Loon,2020-02-08 18:14:16 UTC,2025-04-03 08:43:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38431089,https://inaturalist-open-data.s3.amazonaws.com/photos/61076615/medium.jpg,,"",,1,0,false,,Ecuador,-0.6229516,-77.6028179,212,,,,212,,open,false,,,Grayish Saltator,Saltator coerulescens,Saltador Gris,Aves,9850
38440231,52b5a6d1-ded7-4683-b7a6-0dea46018510,2020/01/26 7:03 AM -0300,2020-01-26,2020-01-26 10:03:00 UTC,Buenos Aires,1368063,goncrisdi,Gonzalo Diaz,2020-02-08 22:06:58 UTC,2020-02-09 17:27:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38440231,https://inaturalist-open-data.s3.amazonaws.com/photos/61091394/medium.jpeg,,"","",1,0,false,,"Villa Paranacito, Entre Rios, Argentina",-33.7146367,-58.6583381,1041,,,,1041,,open,false,,,Grayish Saltator,Saltator coerulescens,Saltador Gris,Aves,9850
38492264,5b3edd6c-b3b3-424f-a77f-2df861d01cce,2020/02/09 5:48 PM HST,2020-02-09,2020-02-10 03:48:00 UTC,Hawaii,2429677,nicobacacastex,Nicolas Baca Castex,2020-02-10 02:50:46 UTC,2020-02-10 13:03:45 UTC,research,,https://www.inaturalist.org/observations/38492264,https://static.inaturalist.org/photos/61177649/medium.jpeg,,"",,2,0,false,,"Acassuso, Buenos Aires, Argentina",-34.4699813181,-58.4962749481,122,,,,122,,open,false,,,Saltador Gris,Saltator coerulescens,Saltador Gris,Aves,9850
38537708,95de1f60-c3be-4755-a176-f080db3e8994,2019/02/03 12:05 AM HKT,2019-02-03,2019-02-02 16:05:00 UTC,Hong Kong,716148,carol_kwok,Carol Kwok,2020-02-11 15:02:19 UTC,2025-04-03 10:06:30 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/38537708,https://static.inaturalist.org/photos/61262025/medium.jpg,,Saltator coerulescens,"灰背舞雀 Amazonian Grey Saltator / Greyish Saltator, Saltator coerulescens

The greyish saltator (Saltator coerulescens) is a seed-eating songbird that is widespread in the tropical Americas. Traditionally placed in the cardinal family (Cardinalidae 主紅雀科), the saltators actually seem to be closer to the tanagers (Thraupidae 唐納雀科).",1,0,false,,"Sumaco, Ecuador",-0.667,-77.6,2169,,,,2169,,open,false,,manual,Saltator coerulescens,Saltator coerulescens,Saltador Gris,Aves,9850
38783715,e05abf6a-fbe0-4d1d-9554-af7d4ff8fb83,2020/01/26 6:42 AM -0300,2020-01-26,2020-01-26 09:42:00 UTC,Buenos Aires,142253,carancho,Leonel Roget,2020-02-18 03:34:32 UTC,2022-04-12 04:44:39 UTC,research,CC-BY,https://www.inaturalist.org/observations/38783715,https://inaturalist-open-data.s3.amazonaws.com/photos/61685164/medium.jpeg,,"","",2,0,false,,"Islas del Ibicuy, Entre Ríos, Argentina",-33.6564284114,-58.6403710211,31,,,,31,,,false,,,Grayish Saltator,Saltator coerulescens,Saltador Gris,Aves,9850
38783743,c1e252a9-e101-4245-a893-147412c9ec16,2020/01/26 6:44 AM -0300,2020-01-26,2020-01-26 09:44:00 UTC,Buenos Aires,142253,carancho,Leonel Roget,2020-02-18 03:35:08 UTC,2022-04-12 04:44:40 UTC,research,CC-BY,https://www.inaturalist.org/observations/38783743,https://inaturalist-open-data.s3.amazonaws.com/photos/61685165/medium.jpeg,,"","",1,0,false,,"Islas del Ibicuy, Entre Ríos, Argentina",-33.6564284114,-58.6403710211,31,,,,31,,,false,,,Saltador Gris,Saltator coerulescens,Saltador Gris,Aves,9850
38783745,4e69a67b-92fa-4db4-a33d-4b62a1ca2ac2,2020/01/26 7:04 AM -0300,2020-01-26,2020-01-26 10:04:00 UTC,Buenos Aires,142253,carancho,Leonel Roget,2020-02-18 03:35:10 UTC,2022-04-12 04:44:41 UTC,research,CC-BY,https://www.inaturalist.org/observations/38783745,https://inaturalist-open-data.s3.amazonaws.com/photos/61685208/medium.jpeg,,"","",2,0,false,,"Islas del Ibicuy, Entre Ríos, Argentina",-33.6564284114,-58.6403710211,31,,,,31,,,false,,,Grayish Saltator,Saltator coerulescens,Saltador Gris,Aves,9850
39280818,50426c2a-be53-4b10-a01a-d86329cff961,2020/02/23 11:53 AM -0300,2020-02-23,2020-02-23 14:53:00 UTC,Buenos Aires,1268934,diegocarau,Diego Carús,2020-02-27 16:14:46 UTC,2025-04-03 23:01:02 UTC,research,CC0,https://www.inaturalist.org/observations/39280818,https://inaturalist-open-data.s3.amazonaws.com/photos/62300942/medium.jpeg,,"","",1,0,false,,"La Lucila, Buenos Aires, Argentina",-34.4917300484,-58.4792502973,31,,,,31,,,false,,,Saltador Gris,Saltator coerulescens,Saltador Gris,Aves,9850
39300403,b61cafc1-7de6-46bd-af52-78a218757fa4,2020/02/24 4:12 PM -0300,2020-02-24,2020-02-24 19:12:00 UTC,Buenos Aires,142253,carancho,Leonel Roget,2020-02-28 01:43:42 UTC,2020-02-28 16:17:32 UTC,research,CC-BY,https://www.inaturalist.org/observations/39300403,https://inaturalist-open-data.s3.amazonaws.com/photos/62332644/medium.jpeg,,"","",2,0,false,,"Isla Verde, Victoria, Entre Ríos, Argentina",-32.8772006627,-60.6736733612,390,,,,390,,open,false,,,Grayish Saltator,Saltator coerulescens,Saltador Gris,Aves,9850
